date,price
2015-10-29,68.9
2015-10-30,69.2
2015-10-31,69.5
2015-11-01,69.2
2015-11-02,69.5
2015-11-03,69.5
2015-11-04,69
2015-11-05,70
2015-11-06,69.6
2015-11-07,69.5,
2015-11-08,69.3
2015-11-09,69.1
2015-11-10,69.8
2015-11-11,69.7
2015-11-12,69.2
2015-11-13,69.2
2015-11-14,68.8
2015-11-15,68.4
2015-11-16,69.1
2015-11-17,69.1
2015-11-18,69.2
2015-11-19,69.6
2015-11-20,69.5
2015-11-21,69.4
2015-11-22,68.5
2015-11-23,68.2
2015-11-24,69.1
2015-11-25,69.4,
2015-11-26,69.5
2015-11-27,69.5
2015-11-28,68.8
2015-11-29,68.8
2015-11-30,69.1
2015-12-01,69.8
2015-12-02,70.1
2015-12-03,69.8
2015-12-04,69.9
2015-12-05,69.6
2015-12-06,68.9
2015-12-07,68
2015-12-08,69.2
